21	7	98
35	72	27
24	23	71
46	7	62
72	8	34
75	70	98
86	76	39
64	74	19
9	52	54
88	73	29
36	74	93
30	77	67
68	7	11
28	51	32
72	99	89
5	64	91
20	40	19
16	76	14
38	56	19
58	41	96
56	76	78
3	44	40
89	60	21
86	59	21
35	3	77
89	73	61
53	69	19
45	46	38
13	75	43
3	26	88
48	58	55
5	97	67
8	48	57
14	13	6
11	88	28
19	39	23
100	21	73
81	23	80
38	69	83
4	82	2
78	94	28
29	70	72
47	54	45
87	22	37
81	16	91
7	77	93
10	50	39
85	94	96
48	94	52
92	38	45
59	18	72
85	5	92
45	65	4
80	36	23
7	87	28
77	57	91
37	21	18
32	63	37
84	51	16
80	45	35
71	53	50
23	76	45
11	34	98
88	37	79
58	39	95
42	78	31
94	89	30
57	24	70
59	51	41
81	37	48
48	92	23
69	74	28
12	27	80
13	51	34
45	81	96
92	79	75
98	17	13
10	30	84
46	40	87
62	37	36
61	18	59
76	12	78
83	20	11
52	62	41
39	35	70
74	17	27
98	55	96
20	36	29
92	37	8
50	43	75
3	64	86
77	71	17
97	42	98
4	92	84
17	62	100
3	98	5
91	51	55
82	77	22
56	25	39
70	3	79
5	31	98
52	66	79
94	11	93
54	33	11
96	46	25
75	73	55
92	36	81
66	41	90
73	16	1
74	53	31
58	89	11
43	72	35
97	13	82
57	82	27
29	23	9
56	77	14
56	55	37
27	14	3
80	23	98
12	72	29
49	81	97
98	62	13
53	81	70
3	9	74
20	42	26
33	78	88
22	75	14
52	17	90
36	37	58
16	8	85
88	1	97
43	33	5
94	47	77
29	63	77
85	38	95
33	100	52
60	39	94
38	3	12
50	70	64
85	56	18
53	8	15
87	95	24
46	6	73
96	37	39
37	98	63
80	56	73
39	75	15
7	31	25
55	68	16
35	26	67
79	2	32
97	23	14
89	33	17
87	61	8
16	54	28
89	5	25
1	47	69
27	99	1
95	81	96
76	89	57
60	13	46
5	14	71
72	79	3
17	54	100
26	13	59
70	90	82
1	45	25
82	62	91
96	98	72
72	71	78
40	39	66
49	78	20
18	29	23
31	83	64
13	76	93
93	97	68
54	29	49
26	61	81
60	38	15
67	70	14
24	41	29
73	32	47
18	13	64
76	2	58
50	51	32
86	29	24
47	7	80
95	34	81
43	54	53
23	16	11
56	89	55
15	53	53
48	66	39
33	68	83
92	15	19
56	31	27
55	2	43
45	18	26
24	21	98
88	8	53
74	59	5
87	44	85
34	81	49
2	87	83
9	91	100
44	46	2
89	37	46
66	100	44
84	46	8
70	12	9
10	16	91
13	64	27
46	26	14
28	11	8
3	5	43
18	46	32
6	98	68
8	67	62
56	40	37
14	81	91
10	12	11
79	19	55
28	39	77
92	74	52
31	4	68
43	98	31
93	95	54
42	87	22
11	74	35
46	47	59
49	57	78
89	69	14
26	70	77
74	98	72
57	3	53
21	98	46
83	55	45
77	8	23
76	9	54
79	82	28
15	7	42
36	59	20
31	43	85
83	86	48
45	11	12
99	48	35
8	82	95
65	6	49
48	22	43
30	97	44
63	76	6
97	98	25
66	76	59
25	78	52
92	31	7
1	69	100
26	31	10
18	33	16
44	68	63
47	18	86
41	5	23
31	32	40
28	7	43
57	99	94
92	55	99
48	61	81
71	86	62
79	19	14
6	33	40
96	91	47
34	4	22
97	24	34
51	38	29
88	54	82
1	73	14
19	81	14
94	74	3
49	71	86
19	62	11
48	7	12
46	15	33
33	92	20
41	99	66
23	33	6
80	25	56
80	25	87
94	4	41
45	10	49
87	38	25
23	1	30
43	58	16
42	42	91
88	45	77
53	33	90
53	99	59
36	63	100
31	28	8
24	6	1
43	74	58
89	71	19
38	64	84
41	68	76
45	31	2
13	9	31
27	84	1
91	97	78
58	24	25
37	72	17
18	25	44
87	22	9
37	83	40
48	36	98
18	16	19
21	71	11
9	66	40
54	6	76
99	13	17
51	85	2
67	90	20
33	97	58
47	62	14
75	76	30
3	68	77
6	84	87
27	98	60
29	13	16
100	38	71
82	52	80
57	81	8
71	17	94
61	6	67
62	1	15
58	18	100
93	5	49
2	79	4
83	91	50
47	98	68
47	15	55
90	32	66
73	74	73
18	5	31
